Recency,Frequency,MonetaryTotal,MonetaryAvg,MonetaryStd,MonetaryMax,TotalQuantity,AvgQuantityPerTransaction,CustomerTenureDays,FirstPurchaseDaysAgo,PreferredDayOfWeek,PreferredHour,PreferredMonth,AvgDaysBetweenPurchases,UniqueProducts,ZeroPriceCount,CancelledTransactions,ReturnRatio,Age,SupportTicketsCount,SatisfactionScore,AgeCategory,SpendingCategory,PreferredTimeOfDay,ChurnRiskCategory,BasketSizeCategory,RegMonth,RegDay,RegWeekday,IP_FirstOctet,RFMSegment_Dormants,RFMSegment_Fidèles,RFMSegment_Potentiels,CustomerType_Nouveau,CustomerType_Occasionnel,CustomerType_Perdu,CustomerType_Régulier,FavoriteSeason_Hiver,FavoriteSeason_Printemps,FavoriteSeason_Été,WeekendPreference_Semaine,WeekendPreference_Weekend,ProductDiversity_Modéré,ProductDiversity_Spécialisé,Gender_Unknown,AccountStatus_Pending,AccountStatus_Suspended,Region_Autre,Region_Europe continentale,Region_UK,Country_TargetEnc,AvgBasketValue,TenureRecencyRatio,CancelPerFreq,SupportBurden,ProdBreadthPerTrans,HighCancelFlag,RegYearsActive,Churn
302,35,5288.630000000001,16.950737179487184,13.603661689116102,107.25,1693,5.426282051282051,71,374,3,9,12,0.2218649517684887,24,0,15,0.048076923076923,,1.0,4.0,0,4,1,4,2,7,17,5,59,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.3324050632911392,151.10371428571432,4.194444444444445,0.4166666666666667,0.013888888888888888,0.6666666666666666,0,1,1
32,18,3079.1,15.70969387755102,11.6847688239824,68.0,1355,6.913265306122449,342,374,2,13,10,1.7179487179487178,106,0,24,0.1224489795918367,,3.0,4.0,0,4,2,2,2,4,10,5,77,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.3324050632911392,171.0611111111111,0.09329446064139942,1.263157894736842,0.008746355685131196,5.578947368421052,1,1,0
3,18,7187.34,28.634820717131475,23.15013187581723,132.8,5009,19.95617529880478,370,374,4,12,11,1.456,115,0,4,0.0159362549800796,46.0,2.0,5.0,4,4,2,1,3,9,12,5,51,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0.27586206896551724,399.2966666666667,0.008086253369272238,0.21052631578947367,0.005390835579514825,6.052631578947368,0,2,0
96,5,948.25,33.86607142857142,42.95311926234322,204.0,439,15.678571428571429,278,374,0,9,9,10.25925925925926,24,0,0,0.0,32.0,2.0,2.0,2,3,1,4,3,1,28,3,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.3324050632911392,189.65,0.34408602150537637,0.0,0.007168458781362007,4.0,0,1,1
330,6,635.1,105.85,215.9862634521001,350.4,58,9.666666666666666,43,374,2,9,12,8.2,1,0,3,0.5,,2.0,1.0,0,3,1,4,2,10,12,0,186,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.3324050632911392,105.85000000000001,7.5,0.42857142857142855,0.045454545454545456,0.14285714285714285,1,2,1
26,20,4596.51,42.16981651376147,49.09086065619568,243.36,2074,19.027522935779817,348,374,2,16,1,3.1481481481481484,63,0,6,0.055045871559633,25.0,2.0,5.0,2,4,3,1,3,10,18,0,206,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.3324050632911392,229.8255,0.07449856733524356,0.2857142857142857,0.0057306590257879654,3.0,0,1,0
8,27,5107.38,14.226685236768802,23.64446978200517,153.0,3222,8.974930362116991,366,374,1,12,12,0.9972067039106144,148,0,32,0.0891364902506963,78.0,3.0,2.0,6,4,2,1,2,11,2,1,154,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.3324050632911392,189.16222222222223,0.021798365122615803,1.1428571428571428,0.008174386920980926,5.285714285714286,0,1,0
16,15,4627.62,72.3065625,142.20644033836976,425.0,2015,31.484375,357,374,4,15,10,5.587301587301587,47,0,3,0.046875,38.0,2.0,2.0,3,4,3,1,3,12,17,4,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3324050632911392,308.508,0.0446927374301676,0.1875,0.00558659217877095,2.9375,0,1,0
1,118,59419.34,23.85360899237254,46.625077317700935,408.0,37720,15.14251304696909,373,374,1,13,1,0.1285140562248996,571,0,112,0.0449618627057406,,1.0,3.0,0,4,2,1,3,9,23,3,199,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.3324050632911392,503.5537288135593,0.00267379679144385,0.9411764705882353,0.00267379679144385,4.798319327731092,0,1,0
3,86,7711.38,7.627477744807122,9.759291387411546,87.6,2049,2.026706231454006,371,374,2,12,12,0.3336633663366337,331,0,39,0.0385756676557863,75.0,2.0,1.0,6,4,2,1,1,9,4,5,114,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.3324050632911392,89.66720930232559,0.008064516129032258,0.4482758620689655,0.005376344086021506,3.8045977011494254,0,1,0
